Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","02211","Raw milk of cattle","2024","2024","t","652.03","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1961","1961","t","383400","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1961","1961","t","13","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1962","1962","t","421200","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1962","1962","t","22","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1963","1963","t","342500","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1963","1963","t","26","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1964","1964","t","357500","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1964","1964","t","31","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1965","1965","t","415900","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1965","1965","t","9","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1966","1966","t","448275","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1966","1966","t","7","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1967","1967","t","411956","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1967","1967","t","6","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1968","1968","t","333056","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1968","1968","t","4","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1969","1969","t","447845","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1969","1969","t","3","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5610","Import quantity","0111","Wheat","1970","1970","t","497317","A","Official figure",""
"TCL","Crops and livestock products","756","Switzerland","5910","Export quantity","0111","Wheat","1970","1970","t","2","A","Official figure",""
